City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Max Temp,Wind Speed,lng
517,dhidhdhoo,24,MV,1542433762,100,6.88,79.82,11.43,73.1
518,nsawam,0,GH,1542433762,95,5.81,68.8,2.71,-0.35
519,porto seguro,20,BR,1542430800,78,-16.44,78.8,11.41,-39.06
520,agutaya,0,PH,1542433764,100,11.15,83.2,17.13,120.94
521,mezen,92,RU,1542433764,99,65.85,39.41,6.85,44.24
522,port harcourt,44,NG,1542433764,94,4.77,72.71,2.93,7.02
523,jacareacanga,36,BR,1542433765,93,-6.22,76.18,2.93,-57.76
524,san jose,0,PH,1542433616,61,15.79,84.82,4.05,120.99
525,uvat,76,RU,1542433766,87,59.14,20.47,3.71,68.9
526,mahebourg,40,MU,1542430800,61,-20.41,80.6,9.17,57.7
527,sinnamary,80,GF,1542433766,100,5.38,76.58,7.74,-52.96
528,vrangel,0,RU,1542433766,100,42.73,38.42,13.67,133.08
529,san pedro,0,AR,1542433768,65,-33.68,69.88,16.69,-59.66
530,urengoy,68,RU,1542433769,87,65.96,10.61,15.46,78.37
531,lima,36,PE,1542433770,80,-12.06,54.13,2.71,-77.04
532,port keats,0,AU,1542433770,83,-14.25,90.26,7.18,129.55
533,muros,0,ES,1542432600,81,42.77,53.6,11.41,-9.06
534,mvangue,88,CM,1542433770,98,2.97,69.83,2.71,11.5
535,road town,1,VG,1542430380,87,18.42,78.98,8.05,-64.62
536,beipiao,44,CN,1542433771,37,41.8,40.49,6.96,120.76
537,rudnogorsk,56,RU,1542433771,87,57.27,3.77,8.63,103.75
538,onega,88,RU,1542433771,92,63.91,42.38,15.57,38.09
539,marzuq,0,YE,1542433772,41,14.4,69.92,3.49,46.47
540,sayyan,0,YE,1542433772,31,15.17,63.71,2.59,44.32
541,dauphin,1,CA,1542430800,91,51.15,-5.81,9.17,-100.04
542,scarborough,56,GB,1542430200,93,54.28,48.2,5.82,-0.41
543,viesite,80,LV,1542433773,97,56.35,31.58,5.84,25.56
544,varzob,64,TJ,1542430800,30,38.78,55.4,6.71,68.82
545,zamora,0,ES,1542432600,93,41.51,41.0,4.16,-5.74
546,puerto del rosario,32,ES,1542432600,82,28.5,66.2,6.93,-13.86
547,tucuman,36,PE,1542433774,66,-17.17,48.41,2.26,-70.89
548,north bend,90,US,1542431760,100,43.41,46.4,5.73,-124.22
549,bad lauterberg,0,DE,1542433775,80,51.63,27.26,6.96,10.47
550,asosa,8,ET,1542433775,24,10.07,75.41,3.94,34.53
551,kyzyl,12,RU,1542433776,83,51.72,9.58,4.16,94.43
552,matay,0,EG,1542433776,83,28.42,55.93,2.82,30.79
